latitude,longitude,year
42.732,-97.962,1995
53.0,-8.0,1995
,,1995
56.502,-1.382,1995
14.0,101.0,1995
,,1995
56.502,-1.382,1995
40.83,-98.58,1995
,,1995
48.702,8.848,1995
40.83,-98.58,1995
,,1995
56.502,-1.382,1995
35.0,136.0,1995
,,1995
42.732,-97.962,1995
52.32,5.55,1995
,,1995
42.732,-97.962,1995
35.0,136.0,1995
,,1995
15.902,101.618,1995
40.83,-98.58,1995
,,1995
42.732,-97.962,1995
35.0,136.0,1995
,,1995
56.502,-1.382,1995
40.83,-98.58,1995
,,1995
42.732,-97.962,1995
47.0,2.0,1995
,,1995
42.732,-97.962,1995
4.0,-73.25,1995
,,1995
42.732,-97.962,1995
47.0,2.0,1995
,,1995
61.902,-105.382,1995
51.0,10.0,1995
,,1995
42.732,-97.962,1995
35.0,136.0,1995
,,1995
42.732,-97.962,1995
51.0,10.0,1995
,,1995
42.732,-97.962,1995
23.72,44.12,1995
,,1995
42.732,-97.962,1995
51.0,10.0,1995
,,1995
66.902,11.618,1995
56.0,10.0,1995
,,1995
54.222,6.168,1995
35.0,136.0,1995
,,1995
15.902,101.618,1995
51.0,10.0,1995
,,1995
15.902,101.618,1995
40.83,-98.58,1995
,,1995
42.732,-97.962,1995
52.32,5.55,1995
,,1995
15.902,101.618,1995
52.32,5.55,1995
,,1995
42.732,-97.962,1995
51.0,10.0,1995
,,1995
42.732,-97.962,1995
60.0,-106.0,1995
,,1995
56.502,-1.382,1995
40.83,-98.58,1995
,,1995
42.732,-97.962,1995
54.6,-2.0,1995
,,1995
42.732,-97.962,1995
9.0,8.0,1995
,,1995
15.902,101.618,1995
-29.0,24.0,1995
,,1995
42.732,-97.962,1995
54.6,-2.0,1995
,,1995
42.732,-97.962,1995
49.0,32.0,1995
,,1995
42.732,-97.962,1995
60.0,-106.0,1995
,,1995
42.732,-97.962,1995
52.32,5.55,1995
,,1995
42.732,-97.962,1995
52.32,5.55,1995
,,1995
42.732,-97.962,1995
